photo_id,date_posted,caption,comments,likes,photo_src,is_video
BfTxwOSBbSD,2018-02-17 11:09:47,"From Snubbull to Electrike, join us in celebrating the Year of the Dog by posting an AR photo of a Pokémon that resembles a real-life canine! #LunarNewYear #PokemonGO #Pokemon #Electrike",10990,107,https://scontent-sjc3-1.cdninstagram.com/vp/a95fb09a1a9a8b66e822716ac3297146/5B4EFEB3/t51.2885-15/e35/27877806_127512364645648_2128479573061402624_n.jpg,False
BfRd_rChZ83,2018-02-16 13:38:39,"Great news, Trainers! If you're lucky enough to evolve your Dragonair into Dragonite during this month's #PokemonGOCommunityDay, your Dragonite will know a special move—Draco Meteor! #Dragonite #Dratini #PokemonGO #Pokemon",15869,327,https://scontent-sjc3-1.cdninstagram.com/vp/f36c5dfe38df9c76aefd4d74872991c5/5B5AA0AD/t51.2885-15/e35/27580137_146256782711667_4416087963612479488_n.jpg,False
BfO3odwhMUN,2018-02-15 13:24:57,"Feeling lucky? Starting today until February 17, Trainers who catch a Poochyena, Growlithe, Snubbull, Eevee, or Electrike will receive bonus Stardust. Happy #LunarNewYear!",18651,242,https://scontent-sjc3-1.cdninstagram.com/vp/f538e54b193969b209086bd262cdd4b8/5B5371BE/t51.2885-15/e35/27880981_823169311188663_5638863744034406400_n.jpg,False
BfOfGCEhI7p,2018-02-15 09:50:32,Muahahaha! Get your avatar a bad new look! You can now purchase outfits honoring the original Team Rocket or the villainous Team Rainbow Rocket from the Pokémon Ultra Sun and Pokémon Ultra Moon games. #PokemonGO,14827,213,https://scontent-sjc3-1.cdninstagram.com/vp/b7cc09126b4e18164e26dd90319482a8/5B3B6BBA/t51.2885-15/e35/27879475_1193127257490353_8859900469401616384_n.jpg,False
BfL7YB-hQo9,2018-02-14 09:59:56,Celebrate #ValentinesDay with us by sharing an AR photo with Luvdisc! #PokemonGOValentines❤️,10343,83,https://scontent-sjc3-1.cdninstagram.com/vp/ddc7ae51e67b1b06aedd0fa815c56bc4/5B6E33DA/t51.2885-15/e35/27579580_1652641308162639_7811437607430127616_n.jpg,False
BfKQKzAhs1t,2018-02-13 18:23:09,Give your local Trainers some love this Valentine's Day by painting your town pink with Lure Modules that last 6 hours! Show us how you're celebrating #PokemonGOValentines❤️ by posting a photo of the PokéStops in your area! #PokemonGO #Pokemon,10377,126,https://scontent-sjc3-1.cdninstagram.com/vp/f01bf30b1d5b079625f5df65847f6f95/5B3B8467/t51.2885-15/e35/27578628_338718023293594_3566602655767724032_n.jpg,False
BfJr6QGhE1E,2018-02-13 13:06:19,"Happy Valentines, Trainers! Until February 15, schools of Luvdisc will be out swimming and awarding 3x Stardust for each one caught. #PokemonGOValentines❤️
#Luvdisc #PokemonGO",23449,351,https://scontent-sjc3-1.cdninstagram.com/vp/14ea6ad8095eb0b46f445b0f53f0e018/5B730B57/t51.2885-15/e35/27880928_175594409833904_3197586337075036160_n.jpg,False
BfHnJ0xBL-f,2018-02-12 17:46:17,"Defending your local Gym from Dragon-type Pokémon? With a strong resistance to Dragon-type attacks, Metagross is a solid choice to use as a Gym defender. #PokemonGOtip #PokemonGO #Metagross #Pokemon",14889,173,https://scontent-sjc3-1.cdninstagram.com/vp/2c8dffda291a349908c03ab649454a65/5B6101E1/t51.2885-15/e35/27574500_1879965365378396_7621968475241578496_n.jpg,False
BfCN1W2hTuP,2018-02-10 15:28:49,"Get out there and make progress on your Pokédex this weekend, Trainers! Until February 13, every Pokémon you encounter in the wild will be one originally discovered in the Hoenn region.
#PokemonGO #Pokemon #Cacnea #Numel #Aron #Baltoy",9499,117,https://scontent-sjc3-1.cdninstagram.com/vp/701102b8b5615ed4011960251de2d39b/5B5350E1/t51.2885-15/e35/27578572_629430080721308_4200669931806654464_n.jpg,False
BfAHdPzBrcA,2018-02-09 19:54:37,Plusle and Minun have been spotted playing together around the world. Go out and see if you can catch them both! #Plusle #Minun #PokemonGO #Pokemon,26771,230,https://scontent-sjc3-1.cdninstagram.com/vp/4e71ac913405fb775c1d014719be848a/5B68C570/t51.2885-15/e35/27893080_154993498492944_5826863619450601472_n.jpg,False
Be_by6vBNUB,2018-02-09 13:33:06,"Rayquaza, the Legendary Pokémon originally discovered in the Hoenn region, has descended from the ozone layer in the sky! Get ready for battle, Trainers! #PokemonGO #Rayquaza #Pokemon",28792,318,https://scontent-sjc3-1.cdninstagram.com/vp/2373826b60fe9c1ca71bf7cc2a473796/5B749AE9/t51.2885-15/e35/26870987_908520052643388_889573355764580352_n.jpg,False
Be8RVWdBYxa,2018-02-08 08:03:58,"Trainers, scan the skies and the world around you! More Pokémon originally from the Hoenn region are coming soon to Pokémon GO. Click the link in our bio to learn more.",29274,439,https://scontent-sjc3-1.cdninstagram.com/vp/ed6ab75184abccb70480d76fa6208afb/5B729F2B/t51.2885-15/e35/27580490_330772390754018_5531881412975656960_n.jpg,False
Be3h5MmhCHF,2018-02-06 11:52:28,"Trainers, don't be intimidated if you see a Slaking defending your neighborhood Gym. Although it has a high CP, Slaking is weak to Fighting-type moves from Pokémon like Hariyama. #PokemonGOtip #Slaking #Hariyama #PokemonGO",10481,143,https://scontent-sjc3-1.cdninstagram.com/vp/6be6b8be57a41affc4079c303c9b70a2/5B6BA70A/t51.2885-15/e35/26868810_158824291440113_9050652611400695808_n.jpg,False
Be1R3XbBpRq,2018-02-05 14:53:55,"From our world's green forests to its snowy mountains, Pokémon are everywhere in Pokémon GO! Snorunt live in cold regions and appear frequently during snowy weather conditions. #Snorunt #PokemonGO #Pokemon #Snow",21834,114,https://scontent-sjc3-1.cdninstagram.com/vp/28b6e9f4ed1f3e9070a02057fc4206aa/5B7245ED/t51.2885-15/e35/26866546_2004829403121456_6944495095773134848_n.jpg,False
BezWbROBcj2,2018-02-04 20:55:18,"Although you might not see a Mudkip nearby, a Mudkip might have already sensed you! The fin on Mudkip's head can sense the movements of water and air. #Mudkip #PokemonGO #Pokemon",23645,134,https://scontent-sjc3-1.cdninstagram.com/vp/de0596ed820507ba6dec12b11836f10d/5B74D948/t51.2885-15/e35/27574469_1994997794159826_3265991495219412992_n.jpg,False
BetiAU0BJI7,2018-02-02 14:41:02,"Show off how far you've walked while playing Pokémon GO with the all-new Jogger avatar items, now available to purchase after earning the Bronze, Silver, or Gold Jogger medals. #PokemonGO #Pokemon",8519,70,https://scontent-sjc3-1.cdninstagram.com/vp/1e1323fa116cd52486e1299c824e788a/5B6390E3/t51.2885-15/e35/26869867_190384964884733_3668236932204199936_n.jpg,False
